figurative_type,uuid,phrase,category
idiom,47661642507116773107686742937767689392098636446151514865633352740206648337319,bite the big one,None
idiom,24133163704507941506472693585686198915245131067877496839227094685921698551950,turn heads,No Category
idiom,51791581478914047479317610390720140282826351420958165914566252554162505837056,spit feathers,Figurative
metaphor,83853197457636330259275525843524563415023362381574712205776950996423400801009,sea of umbrellas,Partial Literal
idiom,17076820085248630891038925478789862591765107570174442270925925790759113958556,behind someone's back,None
idiom,113807165377410740696513790102709894344713010548378672699294470831178120644589,down the road,No Category
idiom,101228919465290773119790771287591462964949412387053701312648827013836608646426,put someone on a pedestal,None
simile,11949617215113103262906482468354185481583471544471318951498419386778569453693,as hard as a brick,Partial Literal
idiom,92491644402922671622234289440962654080975285509874704941370418637563942883906,go the distance,Figurative
idiom,19877069914009494718267090545626956814917376374989139208785382970171738400954,add fuel to the fire,Literal
idiom,74162004914056230410704416197497620560457027883080908080184725757996707411005,eat someone out of house and home,None
idiom,16651432090990709044351101522672954930679188580307968887846006938339286075219,easy does it,Figurative
idiom,100098865813935743867716831682014076632753989666480473058366692426602868850945,make ends meet,Figurative
idiom,49169962770607089341623637462387197834694813385373945325843672000453525924781,burn rubber,Figurative+Literal
idiom,88995715203968871551084919633293909609514533444431928349414812773601988130825,lose your shirt,Figurative
idiom,64803867413948527219557744826004825468129359462852558451772403327774147161457,see the light of day,None
idiom,75509451400962153778445827379387318827538706720906395303129723351115547925470,cut loose,None
simile,9430052725402123598362126765711237184081477158164391400991219804463509721271,as red as a tomato,Partial Literal
idiom,15889905004837308915126856197122469000411502916500726407807126023940265877547,under lock and key,None
simile,32140045663170548935027165285475150449721958221043097288185567962499823059200,as red as a tomato,Partial Literal
idiom,8394815849662249856009629019707273811268821459733318327880484098902204357866,off the wall,Figurative
metaphor,75650630639345615668474197715741982251567517430403732136703446276794508922158,home was prison,Figurative
idiom,22640120591285288476813538312853327607149146943052397021886144436603712032751,a little bird told me,Figurative+Literal
idiom,18524494146678153576654480616661425637794849050215896164768480474270679922491,on the square,Partial Literal
idiom,9739048139893904075325924039530963292847832209231747632243945185963154696345,get down to brass tacks,None
metaphor,70411677999110021160408773983411911988279539384437318178703700777955114063233,wheels of justice,Partial Literal
idiom,33508264014236094664984841138546672878311273496836444618499173604207438882842,stand up and be counted,None
idiom,41925344379971860298820690901271881082389287524207243259814984828992317218430,sit on the fence,Literal
simile,25287428117947359389979535002322080865889068623070212928074840597504109116857,as sweet as sugar,Partial Literal
idiom,92380998068039308414893209475192627979276918578281425568691557159632349526294,make hay,Figurative
metaphor,35170587307678214142903553385868303527172645969727676884825153816850628099914,wheels of justice,Partial Literal
simile,82820183307034998358440684295670856320754070703296973902512401084881335556313,as cold as ice,Figurative
idiom,96589943496123249333599516416904935592780719628805706986775701186489581577227,pound the pavement,Figurative
metaphor,21986852344104796740861037434811095098333014077667916637834227386836977842919,homework is a breeze,Figurative
idiom,60114795341967720650565200232302881142063112661777262729583501954549515524248,steal someone's thunder,Figurative
idiom,28992122243056775558574892921596292173713110935332049578857169510342051487871,couch potato,Figurative+Literal
simile,16705004841288626445840996503287128458239630109623685115853915483910971633943,as angry as a hornet,Partial Literal
simile,76767900458095015870427236038113937391688514449577998417042877548902804512992,as hot as lava,Partial Literal
simile,114996018557073719089655581440565200089503105257807202078224369810090506086010,as sharp as a knife,Partial Literal
simile,70387383095111000350036996514141540418111241927827129006997993587520700711875,as red as a tomato,Partial Literal
idiom,28629246240678324896064924406418020594508247223518285259945601680040806853999,on thin ice,Figurative
idiom,63459988941079434834113100790697984690543668397850882434029131701114106683668,turn up trumps,Partial Literal
idiom,102212805878265282150271331805551570245719185959878443140025469353833667019017,play for keeps,No Category
idiom,24484704879684681877543133857224669367256815271617363277262234323163743431143,one-horse race,Figurative+Literal
idiom,11266929741107810097446174482640426003958005094756211685861160744152377660382,get the show on the road,Figurative
idiom,72930076202331291638698770615842198728546584316554928425784717851958399256640,put your shoulder to the wheel,Figurative+Literal
idiom,56854945478870057412730774092873830287284633785150037120545828616404299339841,up to here,No Category
simile,5991273304793635500139565423440413724183599244088396048999984178470239506706,as pale as a ghost,Partial Literal
metaphor,9819948890222844249602560920648854933513579330934152263657919630184921210409,blanket of snow,Figurative
idiom,37314830713552576629171926526023627760862852566768086526704301361031873724675,put up or shut up,None
idiom,108796681672127900750509578441792641346634013412268621497056436769200591461769,mutton dressed as lamb,Figurative
idiom,5600378432763909228538678662565922670909336434685954486284489003276067685253,clear the decks,Figurative+Literal
simile,73275164857326283341671962038054484786712705068272435930354900472061071953177,as hard as a brick,Figurative
simile,96752677523510696628795186191568265038330648587532701546954814532218098762814,as fresh as a daisy,Figurative
idiom,53523586253803597038879759573331900970190906200193477665970055112161839193360,under the wire,Figurative
simile,104000007127715660127730615640615430040481001158208448714162954636821512208071,as sharp as an arrow,Partial Literal
idiom,16641009741277380459800057653822332725167356122650299096906620382412615554148,split hairs,Literal
metaphor,8932990869476201080774074352409080631431256125258384599242151876569309421984,blanket of flowers,Partial Literal
metaphor,102946775803152857864293525512667780813294694291562749419673680217742531001345,sea of bees,Partial Literal
idiom,92825591746115532127387559156470092660667691592359601091518055085300096164,high and mighty,Figurative+Literal
idiom,85357874120702603190781892228378404011955613268207153505489130824326181008069,haul someone over the coals,Figurative
simile,52959394227751282463144230186975265443831358960785027735199813391584729755342,as slow as a turtle,Figurative
idiom,17791989850129515248942991462900951906203383237014799439862194254951294170896,moment of truth,None
simile,58978933268730351043333541543943257612521255704728677371517073042547882932934,as sweet as honey,Figurative
idiom,67298207660610125960206009428608750977690241735799391365425819478166389302689,play games,Figurative
idiom,61015831137034207728614666159401325208590083353858478254704918366941086713818,cast the first stone,Partial Literal
metaphor,107377728411076640800681016334495645635231295570399109168528543570313091431272,wheels of justice,Partial Literal
idiom,51387538239967065115463410535219187905551992645158287286217871223451226893887,give someone the slip,None
idiom,31483489612109776940462826420400602558974734946130748703609214944634244209327,throw a wobbly,Figurative
idiom,58695456866338481026865089612847738868053559024243091267918774033917720886818,put paid to,Figurative
idiom,10990670136340739616816978751903987365905386630871013449842280753610017042869,give someone the eye,Partial Literal
idiom,45665345867232367581911827568860418802281095355889854289420148260068579359665,smell blood,None
idiom,30815978344770761834435194147614828557284933313979190589166321476331797206914,out on a limb,Figurative+Literal
idiom,41255096814108480530248540119519075994138887048316725218254849050449820557186,take the fifth,Figurative
idiom,25226699122495600365371507788284638817951632540767270302601137708034325868941,chicken feed,None
idiom,55356882453468555103996652391927383016951840181232603730401804611494593830535,beat the clock,Figurative
idiom,106503998662409232632420297299995279730510343166632273151158260191372007963146,with bated breath,Figurative
idiom,39154441721619211634785820456639039821264380621604261966610652239950241610813,on the ropes,Figurative
idiom,80198541394463527601302250662206090369181711125367790017392751759260890701127,keep a lid on,Figurative
idiom,15995229517453745356796413196040243116952690902038612479246358618640478998902,raise the roof,None
metaphor,65273777336372546840921498132578775282491764071351384922975948657789120169269,homework is a breeze,Partial Literal
idiom,42325763997081542001403290360010636395909693823284929953970669024481902052692,sweep someone off their feet,Figurative+Literal
simile,96309948005176435926858238806641253008124459195475259959269620903341406781888,as fast as a cheetah,Partial Literal
idiom,94716945043642271903247895567918639976189046709655451869583889965973219270641,king of beasts,Figurative+Literal
idiom,110808121613227862077303174840015288192070692886881674119158844632949296578440,out of line,None
idiom,52810024339392679652136125970732627794641614341422032878838123303623466642876,be my guest,No Category
idiom,14730485388821121558073771781276471510866598557682542854264962210825652641468,raise hell,None
idiom,85881458696103212650903929040173635965195405074309964934099526584714646380849,on the button,None
simile,41367204579098876938747692887892533334321268099611020755339101774886871740905,as slippery as an ice rink,Partial Literal
metaphor,46381466911786358444117876258776714591896047682470050034398795633283662170687,he was a tiger,Partial Literal
simile,28216417434804744172234431059780745079535366472519962215151741256852009722620,as tall as a skyscraper,Partial Literal
idiom,114764496679198614199903489177503077566782461544959415067976811089362282685856,buy the farm,No Category
idiom,13932904619699407217816654174972972862197405697634127437043262651001109912095,set the wheels in motion,Literal
idiom,97339233091247619395882256876519248674595960198244165583579629430856161155314,rub shoulders,Figurative+Literal
simile,75524406939412439959108234341548534779257587889593843087722718206082876758652,as busy as a bee,Partial Literal
idiom,7972539561021335173929240810801975025894671144895408599363654339388278699329,dot the i's and cross the t's,Figurative
idiom,29783032374295004772942491422948356776362088674091837511628587550659931061472,round the clock,Figurative
metaphor,74001009216390658191432885961374163119082746272652662567380752633567318519623,light of my life,Partial Literal
idiom,11046818685811592937910080687014577767875353365734267377473265641824988167367,on the money,Figurative
idiom,95816402816285969559234418230604096827787467676776567281129594788801723551733,sleep rough,Figurative
simile,52438739825611931575598667089820100632854084000875652339772138180092757169144,as red as a tomato,Figurative
idiom,42011551918484886696265321978746621221892245822748663520166310885235331644875,straight from the shoulder,Partial Literal
idiom,96112521485767969762784306645605632831767063779900619075278690471794114988144,hit the hay,No Category
idiom,52164529915329755503461481521858014184785948522359864009679034677988611768441,straight from the shoulder,Partial Literal
simile,66932287117113526043543940396418443125000671885094762043774859794080120701249,as fast as a cheetah,Partial Literal
simile,82270779763126558142237945150770061193729780828356897009308477084115410596451,as sly as a fox,Partial Literal
idiom,24092751544671431221013226485521867463229598566624380736207124800885718084950,heavy hitter,None
idiom,80389758018769436601597329321524510657901141690599124249441553069821156357898,wear the trousers,Figurative+Literal
idiom,4868125126679993926063550021847955515018442455299706106530887601082947165533,chew the fat,Figurative
idiom,90918383881703190975424602599206591299335131619462175717346217840332574743968,wet behind the ears,Figurative+Literal
idiom,14806692571024546737587096199963687738416745043355132748592653019466050152275,save someone's skin,Partial Literal
idiom,107830427700491888284859994680433599024622480416793638603145791711563747643506,go by the board,None
idiom,106610160952679479075297104670029751488521304148121639483329497510669668052528,all over the place,Figurative
idiom,30836431652811466588809293018803503545861860456861733684533589349878585832509,in the same breath,None
idiom,63050711792091530234567933604066400081185762906458998133782914315482436390260,break the ice,Literal
simile,100616841563190064963726055260977382694569975660259231176668482820778369516451,as slow as a turtle,Partial Literal
idiom,49047137224902483021424059954893992925326407535663971906341421818972286600176,all dressed up and nowhere to go,No Category
metaphor,31453077062307324376661141700344367682526726982353163150590852199162479045478,home was prison,Partial Literal
simile,83504293562202118337645845574913427524102305161897259412848329810623633380495,as filthy as a pigsty,Figurative
idiom,49439898674587882720264460294603562922620925038572772091538034056337543299859,in someone's pocket,None
simile,32108520478320868664462015153521762070149159745965562194385057697313469990899,as dry as a desert,Figurative
simile,114816152924368430621359630212434136966194838983241296352997881891090139197624,as hard as rocks,Partial Literal
idiom,87685994892296357765617285135565410993207103176560812025241799751643146315440,stand the test of time,Figurative
idiom,113484210175464981706729065361483478336733224008601639458314883453683207206414,make heavy weather of,Partial Literal
metaphor,23636663852414100726478639017376515264786026558430371540688213001750245759537,home was prison,Partial Literal
idiom,50891265616436169696764727045810475624376005748659785731888817676158100461139,sitting pretty,Figurative
simile,76300130833623455988571479851976123865843696815217440038672278288001505084060,as red as a tomato,Figurative
idiom,76318658272206508387583168364268921423131158729478383872238924505128912602792,at a loss for words,Figurative
idiom,90658191269108533357889022962013677172709811997713181652743656578134261377645,split the difference,Figurative
simile,83693359546266910725381251724926676577837171895778765880797677571491108387228,as fresh as a daisy,Partial Literal
idiom,112379336654158084161080298035900875812517907673555087910483427231544271969759,throw good money after bad,Figurative+Literal
idiom,72936228653970672339426877537527863760501997543198328058005774036390573921849,get under someone's skin,None
idiom,60702121266789415972620572971147694709449671913507731677865410573478164744080,round the clock,Figurative
simile,104898289582556420861013996228201775039991955598588003492551069346542316063746,as strong as an ox,Figurative
idiom,90835555844517500574858870078950780932175222626517853580735872509584525360145,off the hook,None
idiom,72563034936839271596399237154926273946758766233306982659643991510054636155068,jump on the bandwagon,None
idiom,82401215572508435786610789713029660419007920647762557394513590995931735196666,fall short,Figurative+Literal
simile,14613222344683622375225816786720201002782900116988466192339430128656030093628,as filthy as a pigsty,Partial Literal
idiom,78676762731486151190650030255381858935594447537489673439508309825664631161915,draw a blank,None
metaphor,13141480990982381475577178703072094129592542276197931517468547737776998763841,homework is a breeze,Figurative
idiom,8848092184179599201629364394196656264369533907520944829294716517428846131433,all wet,None
idiom,40028019427443019936326596096567347734754036622334475315123640067811878860131,jump on the bandwagon,None
idiom,51456111441525348904077499131527909798655834916316749897600104607460848058106,hit someone for six,Figurative+Literal
idiom,109713743655961430699380053575877652608337415415936917514686717979433340113206,foam at the mouth,Figurative+Literal
simile,92164230585943768521561883233482588046623290004442608609939598320030279001688,as fresh as a daisy,Figurative
idiom,50500005560523016671479830595481541875504129138156057115608379024983166353122,feast or famine,None
idiom,71083372243441812840107842570402230325073146886035076622020673610510134773262,bundle of joy,Figurative
idiom,104916271776359882179859801069661207449218957635442757131882641702357084296583,cross swords,None
idiom,73442541647984791563306967644610266102346261760594607752506465719158346313703,put the moves on,Figurative
idiom,66551881054834718007863735662413303310558298998832524809062705000340379223583,bundle of joy,Figurative+Literal
simile,75376080917932110041672533500546437321021517028553341485520336588726628199710,as filthy as a pigsty,Partial Literal
idiom,40342662722497936001665145248144588096938158953254286971585377510269817514567,no dice,None
idiom,24901006874716362577910697836260027975576212101651889084506023163141395185426,smell a rat,Partial Literal
idiom,21348837468958184569539068400315570388650206816631505445511134391918091835440,change hands,Partial Literal
idiom,67785924340253281791177050019707964134368535971001013470833893862186960959605,slap on the wrist,Figurative
simile,2140687740819425947816807937590836802164102607739077035961666109437508514166,as dry as a desert,Figurative
simile,1062814611464646357461831797693529087285870578094906044392139907179135673099,as angry as a hornet,Partial Literal
metaphor,66469287110527856716109039844609319625678741050833836194062917327445454439096,sea of bees,Partial Literal
idiom,4365885482223207275837606970192251835350686314490656918267075131020276304711,catch the sun,Figurative+Literal
idiom,95355852308659673478769318551530407568570982107378854785827266093899717447167,hack it,None
simile,27661872564948270392613890480143153516133143956926940158569910183583706502025,as sour as vinegar,Partial Literal
idiom,45325745111511778544788440515962448394664832155837124102336039730452016379450,tired and emotional,Partial Literal
simile,12832924442691154807942306239353459894375642997113171645325319091522111755077,as filthy as a pigsty,Figurative
idiom,16180620364084473131413442586826497621290708472106272500752540901396488100998,many moons ago,Partial Literal
idiom,102582623005424831056274473499979408788658121492914295131740941998596627129932,kiss and make up,Figurative
idiom,28301244886500275825879385470131367657731172919646912487391050406213147241137,up to here,Figurative
idiom,90762275738652000611722898243747908039443857095784023072865998094320863129245,keep a low profile,None
simile,66671540672878122203139192184750645142417435134739463060463849791264985334907,as sweet as honey,Partial Literal
simile,95531017548415836535037907986307018039105996367030396537271122740728576875465,as slow as a snail,Partial Literal
simile,73498586920840966186193136025982329470423249717062352847730694495351370260292,as thin as a stick,Figurative
idiom,53865955521295211318814497880071195977795622091801744687377761988745723246965,run someone ragged,None
idiom,34673348394663536354259728153289289815451510515412756206940836838221520561397,light at the end of the tunnel,Literal
idiom,112871735307403838276878938373336281792064593016801820350308312506698765107614,take to the hills,No Category
simile,28074999281546136508953798833387003782896389461266401259069697175771295595562,as wild as an animal,Partial Literal
idiom,21034083933924284669250203183184019376559069345279524066043178423192519333015,stick to your guns,Figurative+Literal
idiom,82082422825018323740605340712981204742098336080145688365825526724548741868875,tell tales,Figurative
idiom,41722540161267410590163735738075023466420619638607567689439329478387132975041,ring off the hook,None
metaphor,61566630723777033095225551950617246894329277816784037157165688698534271378186,the car is a rocket,Partial Literal
metaphor,85447590568121724646962154646010574785429321342700663780523545977402118450350,he is a cheetah,Figurative
idiom,71989297558508899828281797359656549005123901194007465896782173431041509254732,pump iron,Figurative+Literal
idiom,76563664856770837898057077362217018923629943004173994374424032319952612687123,blood is thicker than water,None
idiom,90501256667609336508067926121380532713793639369772147640225986207260767578788,hang by a thread,No Category
metaphor,93924009735398934857228991684804273989704128881735761837719936217844630554302,blanket of snow,Partial Literal
idiom,13434065154288178999024703632750306449887930553494550080785738721602895685020,sticky fingers,Figurative+Literal
simile,93688289262254157247630743450612925438913797454206889979314206780672503007651,as slippery as an ice rink,Partial Literal
idiom,26863554508587418214929440229500930870008380927854183882279007817045861119080,ring off the hook,Partial Literal
idiom,84079116429884630203784477751253322692031277788698574995115918921000296203761,within living memory,Figurative
simile,12965381321004467278383859721859092071983502809589304526127465410496761997125,as helpless as a baby,Figurative
idiom,28407541920705307920819781009419208057001469072913871026366553057078613901300,round the clock,Figurative+Literal
idiom,42809949898409906695875833432104670445287980728527432657638557277487617409974,kill the messenger,None
simile,69053262255930345239114729075677459638131592457409163573164882338098482759034,as fresh as a daisy,Figurative
metaphor,59412640922454444030573552312998965743350717634412214567926207020247116728611,a mighty lion,Partial Literal
simile,29390456763265284896707798475173330157933217375279794944454059787468986861676,as filthy as a pigsty,Figurative
idiom,60160388196996115169942739225491662505246670290504862178116133515978375277724,come up smelling of roses,None
idiom,91669684153979800974237611015253718844180647574511583071018964904379048089172,take a hike,Figurative+Literal
idiom,83719762298013958037466924746882204598860793928359123999305144891479218002594,tread water,None
idiom,33432776081431376341864824659231909799114183102090024988279526662290002300685,hold your horses,Literal
idiom,27739903885725401758067243806783600288919970148393835062749991320071845010880,easy does it,Figurative
idiom,47948695804545614358842905730986588600203266800657204505112520473310549437708,twist someone's arm,Literal
simile,86772250889208635932672540187331129529986802170564245185792115776962268451655,as hot as lava,Partial Literal
idiom,34331132995742969689311907608581535529131407997021129259095116024122409094910,mend fences,Partial Literal
idiom,80394084501579028330522394572278355381650890096177787218620976614092182297411,talk out of turn,No Category
idiom,57735582800726997676320940802740789122342640420350104949091012418814827276600,turn tail,Figurative
idiom,82325150506913546352360891495824995373322601415787607112241079957900142526949,dyed in the wool,None
simile,89033550650879204946807241403170245490372364911479214241773885190485934783943,as filthy as a pigsty,Partial Literal
simile,54420340441995591407082348050501032842586183870994987866133370175108517099662,as filthy as a pigsty,Partial Literal
metaphor,24978307850704268899096099897747839697572546094924121407474585551129539740372,a night owl,Figurative
idiom,3812658387970433378841267033909386975894915643303085802716182723061894526276,drop the ball,None
idiom,6980951001122803607014585503161856314314863540412932632952000837932084312824,go to seed,Figurative
metaphor,74130546707943921374868162036029875734040001821443216199216577630902449969397,homework is a breeze,Partial Literal
idiom,2218116284289196185849656964359274275451494091610324306655870083158919892640,out of sight,Figurative
simile,115595462281488374093831211681968579158462849915762014963767293890193305662416,as busy as a bee,Partial Literal
simile,20897315711394671549307402504665091515802483117292170777385887485310658251223,as filthy as a pigsty,Figurative
metaphor,34848193887452845777439224209370937817555368836508434456697789539444788830414,blanket of bullets,Partial Literal
idiom,112427060859294027091313210322762347644961957186448215541009704999924392526042,walk all over,Figurative
simile,5220438688737476937494651713981761249444937516255475777671836880763912815952,as fresh as a daisy,Partial Literal
idiom,106942625302477355831830539435535188022106792312814091684806855031673405234294,at sixes and sevens,None
idiom,52464346827134172924253400279603811631449671320772015722097215212138265624854,out of line,None
idiom,67588007198796101331038535416946786030173752219521838695334254648064910715107,place in the sun,None
metaphor,54615421414408604843409733273378125999804459421209305208116107197337137042191,heart of a lion,Figurative
idiom,4721687823649455197453326108237153994298015752440199037909017935295191643308,six of the best,None
idiom,27726965880039718601999509122215877674313363664863703023200601178898185752370,one-horse race,Figurative+Literal
idiom,42637101258895719136526592859855249675536896932328808159319487619373372675418,cut the mustard,None
idiom,80231727797595809632235784648676157128554253374138572694891675468294877623323,go to the wall,Partial Literal
idiom,4993944708467944918348976473629117807693518898307438826793086850661890309926,second childhood,Figurative
simile,35983625898065303288105952640829584631711413030743552882836879584110155464490,as fresh as a daisy,Figurative
simile,35100580753770125212400818305211945264066279245508125961340678157003051642730,as thin as a stick,Partial Literal
idiom,26631308013152910657985763288960496115707089578090617013053901181089552897771,take the fall,None
idiom,70849340550486581186235805299171602018389182488115300963435431645654007396071,work to rule,Figurative
simile,12593400046956180743570413415883104143971900095694515832473556630094426995255,as solid as a rock,Partial Literal
idiom,76241336215799478748361404978824437956100112564109388822961731529516120195337,last hurrah,None
idiom,113264113158973051431521384651123720692153718213067104072559049193893089385146,slap and tickle,Figurative
idiom,18901377467457158625902714795134776378997826933163874377399438381286126125561,sweep someone off their feet,Figurative+Literal
idiom,56046472885346058909326672643382845452699247520798340719253246058492228828386,few and far between,Figurative
idiom,99997568264476038728234542637361190773969902344365080860559189606153790688897,for my money,Partial Literal
idiom,34045728830221689489697151356095214565270935296326508092317737287687697570142,turn a blind eye,Figurative+Literal
simile,89427131927835676082842215783127841215261872513735084892776060077122808307735,as slow as a snail,Figurative
idiom,22557309923255715244896767088915714664776887804962439596113492972016899301709,eat your heart out,None
idiom,67521440304794776347322056445706862215272475992581381708021522368335666315735,take to the hills,Partial Literal
idiom,91564776530950538379839564874607258042974939903940304320762652689246954464179,split the difference,None
simile,32108520478320868664462015153521762070149159745965562194385057697313469990899,as slippery as an ice rink,Partial Literal
idiom,56177232857146042209074248551333597996216256045854768510409174680985474529422,come with the territory,None
metaphor,102044233029125437227190930393723901703767010667802289981457048367668150994421,she is a snake,Partial Literal
idiom,26380605042040904269105897637132837116754927279076801341202224375005303137329,hit the skids,Figurative
idiom,32187449238920987510768605335950978572086136093905038932744925179152032460273,on a full stomach,No Category
idiom,65123014343717509938039851696639663031444341731202950186140874534618223987968,fun and games,Figurative
idiom,32048178664389034338491360347521374456583183060504289960191287878984262098268,prop up the bar,Figurative+Literal
idiom,93583481280457665590180022935239385796280871335801336550498709318963462093128,hold your horses,Literal
simile,66053082023280744189580514086943362208047545474650187227465610790298343988663,as fresh as a daisy,Partial Literal
idiom,37673931982386376072172733843065562797968171194408907912871698892767156859978,money for jam,Figurative
idiom,79060460074443081229718806329610261825997376521266663015867146828548985845761,on paper,None
idiom,57151374849338596063030235260027415106357016703565842737996143508029432006938,away with the fairies,Figurative
idiom,58061882385864251922521236319712352718257716091250302173598274629415965091006,take to the hills,None
idiom,24116295628174012745082303971627000245234544763556331270853713835752566361243,sign on the dotted line,No Category
idiom,68167751797075659232427062262882045323716487434860044372302709895410135591833,king of beasts,Figurative
simile,86128500196067344229720541341086512304620009159899324972206053282628351756068,as slippery as an ice rink,Partial Literal
idiom,42279502680935343869548637678392368949774611316192309631115866234157732701741,carrot and stick,Literal
idiom,109585730137107251009148612468775920742640108800211816118666391366512603654192,prop up the bar,No Category
idiom,111988390787024600501075101247987167965267724641798397716309242293874328276573,banana republic,Figurative
idiom,101942222852114465378916383507428334982711661967822572077366504411139057447703,on a full stomach,None
simile,8640280582338187269348391687290573654394923342634682559962645472928738816875,as tall as a skyscraper,Partial Literal
simile,73498586920840966186193136025982329470423249717062352847730694495351370260292,as thin as a rail,Figurative
idiom,101932068546208524614564782749535524680864385444040985818077391545188032257822,as a rule,None
idiom,115525458355827251759704480804613284205998483047420393397827763311477885467347,fall into place,Figurative
metaphor,18137139193051343390688274442108687171536707684753420226264982876110993201054,a lion on the battlefield,Partial Literal
simile,102230963699831597247660186393532578081404976335851798303056052329623061090555,as hard as rocks,Figurative
metaphor,57896704321267211594170280826437943428358536341526726059710221272115069054390,he is a fox,Figurative
idiom,36472368650120429458041616343729522095338394891672313007197645813992850554211,hold water,Figurative
idiom,21503875632343744332175374180463345969549466397751490066435619642607531010806,have someone by the short and curlies,None
idiom,47768349751109949503320261597913168901133403256036109599094191549642052195504,queer someone's pitch,Figurative
idiom,29730818644037649017221311527032417240518359715706263112997197464739890414512,the rest is history,None
idiom,66742667367412193631231094208920906852338936286691861538859849221502445491926,take the fall,None
idiom,33958086357259880778224847472519667888399601140550994901961075501154318125027,have an eye for,None
idiom,76305778288517291476232407783695325080369687875553141639178274407951953020665,take to the hills,Partial Literal
idiom,89507513344279993352468709367544471282859859737489017689111400234528345724938,six of the best,None
idiom,48088090891232072808653062591668049725200831076599966178843454296010750829065,head south,None
simile,8173596240098609835390703864341543541362162998882705314590283154583197548865,as thin as a rail,Figurative
idiom,6590598359965769231652376591784208687907547064481394650840425997455712203872,fight fire with fire,None
idiom,26018351743368385160133345754425329689029541750748668893511679956261038320043,under lock and key,Figurative
idiom,3858817677073411105103474437746406470347570485700978403111722039935193027372,fall from grace,None
idiom,44855868190282918693234141857400561888519537561925415293426751357607707100124,left and right,Figurative
idiom,6292343780075193935900194301649273731183780099091027739402128163862423411796,think outside the box,None
idiom,21833098253606671297038408971688757751611177301282337722993207272654143350773,get the nod,Figurative
idiom,97365188345253774342493963862561860249729686406872128054558875089687912609285,at sea,Figurative
metaphor,70917447429170868092386644510301711438225192077114631862682251386055167261189,a lion on the battlefield,Partial Literal
idiom,108009651566556638435165141154808080225288528091379745760579291338526187203413,on the back burner,Figurative
idiom,64418422001531636179393457709126141253150408245549804321187784544637416509643,make a splash,Figurative
idiom,9603506086984791683734365522517571036967890783074766109188317542223971174359,bundle of joy,Figurative
idiom,10528929684920935293473550243351366506830535934459835729631201719465692514931,all over the place,Figurative
idiom,29859133595649649820832977122565471837649638862436240292569989117478743778023,round the bend,None
idiom,97970112503859722984249111199424641397237522547617096453232103067968466435123,take a bow,Figurative
idiom,75204818409259332611442709228616184418473183340390606173665535953496282078594,grease someone's palm,Figurative
simile,83181175571118379244919699501874656181515054062397741622072410380821014813200,as sharp as an arrow,Partial Literal
idiom,11186229712540992891097384541598957527397010840343243315509119413683253093986,out of pocket,None
idiom,107590667429840153619877255979926328721707371681034971044493288686320206699684,sail close to the wind,None
idiom,48338753384610540063511838931706730352064458469763884107020362220800729281617,bell the cat,None
idiom,57965357617224031193909221641098945937345706760831247270215827798962275256966,in the wink of an eye,Partial Literal
idiom,101343998978807234278864699848015869509879885287906033474771416608033702534310,kick up your heels,Figurative+Literal
simile,101108464780044531168269563447753004512919269910173415733211710223966229034577,as busy as a bee,Partial Literal
idiom,87051374989561579609885549590404899096690209497002611199639065596001669170234,get your skates on,Partial Literal
idiom,107486010830268872197121450788208460360429508238935619461472120795848502357191,bite the big one,Figurative
metaphor,106007692204455471365715136113207909358331349217356593551947897795256570849094,eyes were fireflies,Partial Literal
idiom,36135790089451818371893446359760836656006967286873516361922891656578500118142,out on a limb,Figurative+Literal
simile,61340988060526133999839022746293308875764880373291637720738545402851270035077,as cold as ice,Partial Literal
simile,21062244842058520364257816333967003205806799418062775687843753331654603449771,as wide as the sea,Figurative
simile,20643681363626794259557761021963242677340263494626708143538267751863305828105,as helpless as a baby,Partial Literal
metaphor,75651730684392671380794914395317465176519662494488831595599646412013399282189,cute teddy bear,Partial Literal
metaphor,29209242578514498817260370847179245877037254558500102893344381597497788739364,sea of knowledge,Partial Literal
idiom,13792676921739925172930812645087279618579362497023229584775667063097095200929,fit the bill,No Category
metaphor,65761286453694310979733498530778254717119564204705831218113161057356629226978,she is a snake,Partial Literal
idiom,61600519944254391333950799075466853057439115263232052268811205677497159004187,see red,Figurative
idiom,111384300187566571085237992093235885536779550009322373020193838693487743027417,night and day,Figurative
idiom,15152998203144372054921131561693567712493042091553052658527943964373506687279,a little bird told me,No Category
idiom,5708856625232535262008193631690921858956929602400411084850657557661423528350,rock the boat,None
simile,42028861487057504429192801936844582197426348272774283736855106655825597651639,as sharp as an arrow,Partial Literal
idiom,11819315436477579085223713562408608192129055751803960694467926637475902600879,the bee's knees,Literal
simile,64095575462751230143405021487616117900152143770169342467402408038374970083823,as hot as lava,Partial Literal
idiom,31551202899225424267475536579070575744172996357080573408727869980951831438122,out of line,None
idiom,110296483745709023604055050164296838198582349297306836246918383190465698595425,crystal clear,Figurative+Literal
idiom,52058638176784248822115334276775769256949047408018342879098521847318301261872,ride roughshod over,None
idiom,18054187085040287195962580926490446292359578530122632255419668928533058772827,no great shakes,None
simile,96322585409649823473617188968587242201966443604469315940366062477921794676371,as fresh as a daisy,Partial Literal
simile,48990007571312491964794298087867110699518548376233104981635955132744372279700,as deep as the ocean,Partial Literal
idiom,105852736880898742269001332744746921170229226298689392159636881394722492833486,knock someone's socks off,No Category
